Sensor #,Date,time,Conveyor Belt,Machine,Unit,Group,Component,Failure Mode,Disipline,Comments,Delay_min,Avg repair time_hrs,Avg Repair cost_USD
2,08-29-18,09:23:00 AM,A,Clamping straps,Extremity Unit,Charger Power Line,Repairs,Insulators Adrift,Electrical, ,91,1,700
1,08-28-18,12:24:00 PM,D,Clamping straps,Extremity Unit,Inverter Drive,A.C.S. Control Panel,Unknown Electrical Failure,Electrical, ,68,1,2300
2,08-24-18,06:45:00 PM,D,Counter-bearings,Driving unit,Drive,Motor Cable,Unknown Electrical Failure,Electrical,Cable and sensor changed on No4 screw counter.,85,1,700
2,08-20-18,12:24:00 PM,C,Motor bracket,Driving unit,Reservoir,Oil Level,Low,Mechanical,both tanks empty/low. topped up.,88,1,700
1,08-25-18,09:23:00 AM,A,Pulley,Extremity Unit,Bunkers,SiloS,Crf Electrical Issues,Electrical,Transformer u/s unable to feed coal,72,1,2900
1,08-19-18,08:22:00 AM,A,Pulley,Extremity Unit,Travel Sensor,North,Sensor Failure,Electrical,losing sensor whilst travelling and ram got stuck in dead section.,62,1,1000
2,08-28-18,08:27:00 AM,C,Pulley,Extremity Unit,Latch Bars,Bottom Slew Mechanism Free Pin,Unknown Mechanical Failure,Mechanical,Latch mech finger damaged,85,1,700
2,08-25-18,08:27:00 AM,B,Clamping straps,Extremity Unit,Delay,Plant Issues,By-Products Delay,Operational Unplanned,Instrument air lost over by-products,90,2,1400
4,08-29-18,06:45:00 PM,A,Clamping straps,Extremity Unit,Charger Power Line,Repairs,Insulators Adrift,Electrical, ,92,2,1400
3,08-30-18,09:23:00 AM,A,Clamping straps,Extremity Unit,Charger Power Line,Repairs,Insulators Adrift,Electrical, ,92,2,1400
1,08-24-18,09:23:00 AM,C,Clamping straps,Extremity Unit,1B,Loadcell,Unknown Electrical Failure,Electrical,unable to drop coal attendedto by electricians,66,2,1200
3,08-20-18,08:27:00 AM,D,Clamping straps,Extremity Unit,Inverter Drive,A.C.S. Control Panel,Unknown Electrical Failure,Electrical, ,69,2,2301
2,08-29-18,12:24:00 PM,D,Clamping straps,Extremity Unit,Inverter Drive,A.C.S. Control Panel,Unknown Electrical Failure,Electrical, ,69,2,2301
4,08-26-19,12:24:00 PM,D,Counter-bearings,Driving unit,Drive,Motor Cable,Unknown Electrical Failure,Electrical,Cable and sensor changed on No4 screw counter.,86,2,1400
3,08-25-18,06:45:00 PM,D,Counter-bearings,Driving unit,Drive,Motor Cable,Unknown Electrical Failure,Electrical,Cable and sensor changed on No4 screw counter.,86,2,1400
1,08-30-18,06:45:00 PM,C,Drive (electrical),Driving unit,Reservoir,Tank,Empty,Mechanical,Main tank & reserve tank empty,69,2,1500
2,08-30-18,09:23:00 AM,D,Drive (electrical),Driving unit,C Frame,Locking Pin,Unknown Mechanical Failure,Mechanical,locating pin on extractor adrift,87,2,1400
4,08-20-18,09:23:00 AM,C,Motor bracket,Driving unit,Reservoir,Oil Level,Low,Mechanical,both tanks empty/low. topped up.,89,2,1400
3,08-21-18,12:24:00 PM,C,Motor bracket,Driving unit,Reservoir,Oil Level,Low,Mechanical,both tanks empty/low. topped up.,89,2,1400
1,08-29-18,12:24:00 PM,D,Pulley,Extremity Unit,Track/Rails,Rail,Cleaning/Inspection,Operational Unplanned,Automated loco tag set up,72,2,2300
3,08-31-18,08:27:00 AM,A,Pulley,Extremity Unit,Bunkers,SiloS,Crf Electrical Issues,Electrical,Transformer u/s unable to feed coal,73,2,2901
2,08-26-18,09:23:00 AM,A,Pulley,Extremity Unit,Bunkers,SiloS,Crf Electrical Issues,Electrical,Transformer u/s unable to feed coal,73,2,2901
3,08-28-18,12:24:00 PM,A,Pulley,Extremity Unit,Travel Sensor,North,Sensor Failure,Electrical,losing sensor whilst travelling and ram got stuck in dead section.,63,2,1001
2,08-20-18,08:22:00 AM,A,Pulley,Extremity Unit,Travel Sensor,North,Sensor Failure,Electrical,losing sensor whilst travelling and ram got stuck in dead section.,63,2,1001
4,08-27-19,06:45:00 PM,C,Pulley,Extremity Unit,Latch Bars,Bottom Slew Mechanism Free Pin,Unknown Mechanical Failure,Mechanical,Latch mech finger damaged,86,2,1400
3,08-29-18,08:27:00 AM,C,Pulley,Extremity Unit,Latch Bars,Bottom Slew Mechanism Free Pin,Unknown Mechanical Failure,Mechanical,Latch mech finger damaged,86,2,1400
1,08-20-18,08:27:00 AM,A,Clamping straps,Extremity Unit,Pick Up,Arm - Top,Arm Derailed,Electrical,Guards caught in collector gear,69,3,1200
4,08-25-19,12:24:00 PM,B,Clamping straps,Extremity Unit,Delay,Plant Issues,By-Products Delay,Operational Unplanned,Instrument air lost over by-products,91,3,2100
3,08-26-18,08:27:00 AM,B,Clamping straps,Extremity Unit,Delay,Plant Issues,By-Products Delay,Operational Unplanned,Instrument air lost over by-products,91,3,2100
5,08-30-18,06:45:00 PM,A,Clamping straps,Extremity Unit,Charger Power Line,Repairs,Insulators Adrift,Electrical, ,93,3,2100
4,08-31-18,09:23:00 AM,A,Clamping straps,Extremity Unit,Charger Power Line,Repairs,Insulators Adrift,Electrical, ,93,3,2100
1,08-31-18,06:45:00 PM,C,Clamping straps,Extremity Unit,Inverter Drive,Batch Speed Control,Unknown Electrical Failure,Electrical,Fault finding batch speed issue,72,3,3200
3,08-30-17,06:45:00 PM,C,Clamping straps,Extremity Unit,2B,Loadcell,Unknown Electrical Failure,Electrical,unable to drop coal attendedto by electricians,67,3,1201
2,08-25-18,09:23:00 AM,C,Clamping straps,Extremity Unit,2B,Loadcell,Unknown Electrical Failure,Electrical,unable to drop coal attendedto by electricians,67,3,1201
4,08-21-18,08:27:00 AM,D,Clamping straps,Extremity Unit,Inverter Drive,A.C.S. Control Panel,Unknown Electrical Failure,Electrical, ,70,3,2302
3,08-30-18,12:24:00 PM,D,Clamping straps,Extremity Unit,Inverter Drive,A.C.S. Control Panel,Unknown Electrical Failure,Electrical, ,70,3,2302
5,08-27-19,12:24:00 PM,D,Counter-bearings,Driving unit,Drive,Motor Cable,Unknown Electrical Failure,Electrical,Cable and sensor changed on No4 screw counter.,87,3,2100
4,08-26-18,06:45:00 PM,D,Counter-bearings,Driving unit,Drive,Motor Cable,Unknown Electrical Failure,Electrical,Cable and sensor changed on No4 screw counter.,87,3,2100
3,08-25-18,09:23:00 AM,C,Drive (electrical),Driving unit,Reservoir,Tank,Empty,Mechanical,Main tank & reserve tank empty,70,3,1501
2,08-31-18,06:45:00 PM,C,Drive (electrical),Driving unit,Reservoir,Tank,Empty,Mechanical,Main tank & reserve tank empty,70,3,1501
4,08-28-19,08:27:00 AM,D,Drive (electrical),Driving unit,C Frame,Locking Pin,Unknown Mechanical Failure,Mechanical,locating pin on extractor adrift,88,3,2100
3,08-31-18,09:23:00 AM,D,Drive (electrical),Driving unit,C Frame,Locking Pin,Unknown Mechanical Failure,Mechanical,locating pin on extractor adrift,88,3,2100
5,08-21-18,09:23:00 AM,C,Motor bracket,Driving unit,Reservoir,Oil Level,Low,Mechanical,both tanks empty/low. topped up.,90,3,2100
4,08-22-18,12:24:00 PM,C,Motor bracket,Driving unit,Reservoir,Oil Level,Low,Mechanical,both tanks empty/low. topped up.,90,3,2100
2,08-20-19,09:23:00 AM,A,Motor bracket,Driving unit,Track/Rails,Rail,Sheared,Mechanical,west rail changed.,145,3,2100
3,08-21-19,09:23:00 AM,D,Pulley,Extremity Unit,Track/Rails,Rail,Cleaning/Inspection,Operational Unplanned,Automated loco tag set up,73,3,2301
2,08-30-18,12:24:00 PM,D,Pulley,Extremity Unit,Track/Rails,Rail,Cleaning/Inspection,Operational Unplanned,Automated loco tag set up,73,3,2301
4,09-01-18,08:27:00 AM,A,Pulley,Extremity Unit,Bunkers,SiloS,Crf Electrical Issues,Electrical,Transformer u/s unable to feed coal,74,3,2902
3,08-27-18,09:23:00 AM,A,Pulley,Extremity Unit,Bunkers,SiloS,Crf Electrical Issues,Electrical,Transformer u/s unable to feed coal,74,3,2902
4,08-29-18,12:24:00 PM,A,Pulley,Extremity Unit,Travel Sensor,North,Sensor Failure,Electrical,losing sensor whilst travelling and ram got stuck in dead section.,64,3,1002
3,08-21-18,08:22:00 AM,A,Pulley,Extremity Unit,Travel Sensor,North,Sensor Failure,Electrical,losing sensor whilst travelling and ram got stuck in dead section.,64,3,1002
5,08-28-19,06:45:00 PM,C,Pulley,Extremity Unit,Latch Bars,Bottom Slew Mechanism Free Pin,Unknown Mechanical Failure,Mechanical,Latch mech finger damaged,87,3,2100
4,08-30-18,08:27:00 AM,C,Pulley,Extremity Unit,Latch Bars,Bottom Slew Mechanism Free Pin,Unknown Mechanical Failure,Mechanical,Latch mech finger damaged,87,3,2100
3,08-29-18,12:24:00 PM,A,Clamping straps,Extremity Unit,Pick Up,Arm - Top,Arm Derailed,Electrical,Guards caught in collector gear,70,4,1201
2,08-21-18,08:27:00 AM,A,Clamping straps,Extremity Unit,Pick Up,Arm - Top,Arm Derailed,Electrical,Guards caught in collector gear,70,4,1201
5,08-26-19,12:24:00 PM,B,Clamping straps,Extremity Unit,Delay,Plant Issues,By-Products Delay,Operational Unplanned,Instrument air lost over by-products,92,4,2800
4,08-27-18,08:27:00 AM,B,Clamping straps,Extremity Unit,Delay,Plant Issues,By-Products Delay,Operational Unplanned,Instrument air lost over by-products,92,4,2800
2,08-31-18,12:24:00 PM,C,Clamping straps,Extremity Unit,Delay,Plant Issues,Exhauster Failure,Operational Unplanned,Exhauster failure and inst air failure... plant on stop after down day.,101,4,2800
6,08-31-18,06:45:00 PM,A,Clamping straps,Extremity Unit,Charger Power Line,Repairs,Insulators Adrift,Electrical, ,94,4,2800
5,09-01-18,09:23:00 AM,A,Clamping straps,Extremity Unit,Charger Power Line,Repairs,Insulators Adrift,Electrical, ,94,4,2800
3,08-22-19,12:24:00 PM,C,Clamping straps,Extremity Unit,Inverter Drive,Batch Speed Control,Unknown Electrical Failure,Electrical,Fault finding batch speed issue,73,4,3201
2,09-01-18,06:45:00 PM,C,Clamping straps,Extremity Unit,Inverter Drive,Batch Speed Control,Unknown Electrical Failure,Electrical,Fault finding batch speed issue,73,4,3201
4,08-31-17,06:45:00 PM,C,Clamping straps,Extremity Unit,3B,Loadcell,Unknown Electrical Failure,Electrical,unable to drop coal attendedto by electricians,68,4,1202
3,08-26-18,09:23:00 AM,C,Clamping straps,Extremity Unit,3B,Loadcell,Unknown Electrical Failure,Electrical,unable to drop coal attendedto by electricians,68,4,1202
5,08-22-18,08:27:00 AM,D,Clamping straps,Extremity Unit,Inverter Drive,A.C.S. Control Panel,Unknown Electrical Failure,Electrical, ,71,4,2303
4,08-31-18,12:24:00 PM,D,Clamping straps,Extremity Unit,Inverter Drive,A.C.S. Control Panel,Unknown Electrical Failure,Electrical, ,71,4,2303
6,08-28-19,12:24:00 PM,D,Counter-bearings,Driving unit,Drive,Motor Cable,Unknown Electrical Failure,Electrical,Cable and sensor changed on No4 screw counter.,88,4,2800
5,08-27-18,06:45:00 PM,D,Counter-bearings,Driving unit,Drive,Motor Cable,Unknown Electrical Failure,Electrical,Cable and sensor changed on No4 screw counter.,88,4,2800
4,08-26-18,09:23:00 AM,C,Drive (electrical),Driving unit,Reservoir,Tank,Empty,Mechanical,Main tank & reserve tank empty,71,4,1502
3,09-01-18,06:45:00 PM,C,Drive (electrical),Driving unit,Reservoir,Tank,Empty,Mechanical,Main tank & reserve tank empty,71,4,1502
5,08-29-19,08:27:00 AM,D,Drive (electrical),Driving unit,C Frame,Locking Pin,Unknown Mechanical Failure,Mechanical,locating pin on extractor adrift,89,4,2800
4,09-01-18,09:23:00 AM,D,Drive (electrical),Driving unit,C Frame,Locking Pin,Unknown Mechanical Failure,Mechanical,locating pin on extractor adrift,89,4,2800
6,08-22-18,09:23:00 AM,C,Motor bracket,Driving unit,Reservoir,Oil Level,Low,Mechanical,both tanks empty/low. topped up.,91,4,2800
5,08-23-18,12:24:00 PM,C,Motor bracket,Driving unit,Reservoir,Oil Level,Low,Mechanical,both tanks empty/low. topped up.,91,4,2800
5,08-31-18,08:27:00 AM,A,Motor bracket,Driving unit,Track/Rails,Rail,Sheared,Mechanical,west rail changed.,146,4,2800
3,08-21-19,09:23:00 AM,A,Motor bracket,Driving unit,Track/Rails,Rail,Sheared,Mechanical,west rail changed.,146,4,2800
1,08-21-18,08:27:00 AM,D,Motor bracket,Driving unit,Ram Power Line,Repairs,Tee Bar Distorted,Mechanical,Mini stop to repair ram tee bars and quencher heat shield,76,4,2300
4,08-22-19,09:23:00 AM,D,Pulley,Extremity Unit,Track/Rails,Rail,Cleaning/Inspection,Operational Unplanned,Automated loco tag set up,74,4,2302
3,08-31-18,12:24:00 PM,D,Pulley,Extremity Unit,Track/Rails,Rail,Cleaning/Inspection,Operational Unplanned,Automated loco tag set up,74,4,2302
5,09-02-18,08:27:00 AM,A,Pulley,Extremity Unit,Bunkers,SiloS,Crf Electrical Issues,Electrical,Transformer u/s unable to feed coal,75,4,2903
4,08-28-18,09:23:00 AM,A,Pulley,Extremity Unit,Bunkers,SiloS,Crf Electrical Issues,Electrical,Transformer u/s unable to feed coal,75,4,2903
5,08-30-18,12:24:00 PM,A,Pulley,Extremity Unit,Travel Sensor,North,Sensor Failure,Electrical,losing sensor whilst travelling and ram got stuck in dead section.,65,4,1003
4,08-22-18,08:22:00 AM,A,Pulley,Extremity Unit,Travel Sensor,North,Sensor Failure,Electrical,losing sensor whilst travelling and ram got stuck in dead section.,65,4,1003
6,08-29-19,06:45:00 PM,C,Pulley,Extremity Unit,Latch Bars,Bottom Slew Mechanism Free Pin,Unknown Mechanical Failure,Mechanical,Latch mech finger damaged,88,4,2800
5,08-31-18,08:27:00 AM,C,Pulley,Extremity Unit,Latch Bars,Bottom Slew Mechanism Free Pin,Unknown Mechanical Failure,Mechanical,Latch mech finger damaged,88,4,2800
4,08-30-18,12:24:00 PM,A,Clamping straps,Extremity Unit,Pick Up,Arm - Top,Arm Derailed,Electrical,Guards caught in collector gear,71,5,1202
3,08-22-18,08:27:00 AM,A,Clamping straps,Extremity Unit,Pick Up,Arm - Top,Arm Derailed,Electrical,Guards caught in collector gear,71,5,1202
6,08-27-19,12:24:00 PM,B,Clamping straps,Extremity Unit,Delay,Plant Issues,By-Products Delay,Operational Unplanned,Instrument air lost over by-products,93,5,3500
5,08-28-18,08:27:00 AM,B,Clamping straps,Extremity Unit,Delay,Plant Issues,By-Products Delay,Operational Unplanned,Instrument air lost over by-products,93,5,3500
4,08-31-18,08:27:00 AM,C,Clamping straps,Extremity Unit,Delay,Plant Issues,Exhauster Failure,Operational Unplanned,Exhauster failure and inst air failure... plant on stop after down day.,102,5,3500
3,09-01-18,12:24:00 PM,C,Clamping straps,Extremity Unit,Delay,Plant Issues,Exhauster Failure,Operational Unplanned,Exhauster failure and inst air failure... plant on stop after down day.,102,5,3500
7,09-01-18,06:45:00 PM,A,Clamping straps,Extremity Unit,Charger Power Line,Repairs,Insulators Adrift,Electrical, ,95,5,3500
6,09-02-18,09:23:00 AM,A,Clamping straps,Extremity Unit,Charger Power Line,Repairs,Insulators Adrift,Electrical, ,95,5,3500
4,08-23-19,12:24:00 PM,C,Clamping straps,Extremity Unit,Inverter Drive,Batch Speed Control,Unknown Electrical Failure,Electrical,Fault finding batch speed issue,74,5,3202
3,09-02-18,06:45:00 PM,C,Clamping straps,Extremity Unit,Inverter Drive,Batch Speed Control,Unknown Electrical Failure,Electrical,Fault finding batch speed issue,74,5,3202
5,09-01-17,06:45:00 PM,C,Clamping straps,Extremity Unit,4B,Loadcell,Unknown Electrical Failure,Electrical,unable to drop coal attendedto by electricians,69,5,1203
4,08-27-18,09:23:00 AM,C,Clamping straps,Extremity Unit,4B,Loadcell,Unknown Electrical Failure,Electrical,unable to drop coal attendedto by electricians,69,5,1203
6,08-23-18,08:27:00 AM,D,Clamping straps,Extremity Unit,Inverter Drive,A.C.S. Control Panel,Unknown Electrical Failure,Electrical, ,72,5,2304
5,09-01-18,12:24:00 PM,D,Clamping straps,Extremity Unit,Inverter Drive,A.C.S. Control Panel,Unknown Electrical Failure,Electrical, ,72,5,2304
7,08-29-19,12:24:00 PM,D,Counter-bearings,Driving unit,Drive,Motor Cable,Unknown Electrical Failure,Electrical,Cable and sensor changed on No4 screw counter.,89,5,3500
6,08-28-18,06:45:00 PM,D,Counter-bearings,Driving unit,Drive,Motor Cable,Unknown Electrical Failure,Electrical,Cable and sensor changed on No4 screw counter.,89,5,3500
5,08-27-18,09:23:00 AM,C,Drive (electrical),Driving unit,Reservoir,Tank,Empty,Mechanical,Main tank & reserve tank empty,72,5,1503
4,09-02-18,06:45:00 PM,C,Drive (electrical),Driving unit,Reservoir,Tank,Empty,Mechanical,Main tank & reserve tank empty,72,5,1503
1,08-26-18,09:23:00 AM,B,Drive (electrical),Driving unit,Hooks,Bottom Hook Jaw Liner,Unknown Mechanical Failure,Mechanical,failed to remove door before sbt,84,5,3000
6,08-30-19,08:27:00 AM,D,Drive (electrical),Driving unit,C Frame,Locking Pin,Unknown Mechanical Failure,Mechanical,locating pin on extractor adrift,90,5,3500
5,09-02-18,09:23:00 AM,D,Drive (electrical),Driving unit,C Frame,Locking Pin,Unknown Mechanical Failure,Mechanical,locating pin on extractor adrift,90,5,3500
2,08-21-18,06:45:00 PM,B,Motor bracket,Driving unit,Heating,Motor Cable,Gallery Issues,Operational Unplanned,issue with gas reversal on bat 1,121,5,3500
2,08-25-18,12:24:00 PM,A,Motor bracket,Driving unit,Heating,Motor Cable,high Temps,Operational Unplanned,Temps very high on 100,153,5,3500
7,08-23-18,09:23:00 AM,C,Motor bracket,Driving unit,Reservoir,Oil Level,Low,Mechanical,both tanks empty/low. topped up.,92,5,3500
6,08-24-18,12:24:00 PM,C,Motor bracket,Driving unit,Reservoir,Oil Level,Low,Mechanical,both tanks empty/low. topped up.,92,5,3500
6,09-01-18,08:27:00 AM,A,Motor bracket,Driving unit,Track/Rails,Rail,Sheared,Mechanical,west rail changed.,147,5,3500
4,08-22-19,09:23:00 AM,A,Motor bracket,Driving unit,Track/Rails,Rail,Sheared,Mechanical,west rail changed.,147,5,3500
3,08-23-19,06:45:00 PM,D,Motor bracket,Driving unit,Ram Power Line,Repairs,Tee Bar Distorted,Mechanical,Mini stop to repair ram tee bars and quencher heat shield,77,5,2301
2,08-22-18,08:27:00 AM,D,Motor bracket,Driving unit,Ram Power Line,Repairs,Tee Bar Distorted,Mechanical,Mini stop to repair ram tee bars and quencher heat shield,77,5,2301
5,08-23-19,09:23:00 AM,D,Pulley,Extremity Unit,Track/Rails,Rail,Cleaning/Inspection,Operational Unplanned,Automated loco tag set up,75,5,2303
4,09-01-18,12:24:00 PM,D,Pulley,Extremity Unit,Track/Rails,Rail,Cleaning/Inspection,Operational Unplanned,Automated loco tag set up,75,5,2303
6,09-03-18,08:27:00 AM,A,Pulley,Extremity Unit,Bunkers,SiloS,Crf Electrical Issues,Electrical,Transformer u/s unable to feed coal,76,5,2904
5,08-29-18,09:23:00 AM,A,Pulley,Extremity Unit,Bunkers,SiloS,Crf Electrical Issues,Electrical,Transformer u/s unable to feed coal,76,5,2904
6,08-31-18,12:24:00 PM,A,Pulley,Extremity Unit,Travel Sensor,North,Sensor Failure,Electrical,losing sensor whilst travelling and ram got stuck in dead section.,66,5,1004
5,08-23-18,08:22:00 AM,A,Pulley,Extremity Unit,Travel Sensor,North,Sensor Failure,Electrical,losing sensor whilst travelling and ram got stuck in dead section.,66,5,1004
7,08-30-19,06:45:00 PM,C,Pulley,Extremity Unit,Latch Bars,Bottom Slew Mechanism Free Pin,Unknown Mechanical Failure,Mechanical,Latch mech finger damaged,89,5,3500
6,09-01-18,08:27:00 AM,C,Pulley,Extremity Unit,Latch Bars,Bottom Slew Mechanism Free Pin,Unknown Mechanical Failure,Mechanical,Latch mech finger damaged,89,5,3500
5,08-31-18,12:24:00 PM,A,Clamping straps,Extremity Unit,Pick Up,Arm - Top,Arm Derailed,Electrical,Guards caught in collector gear,72,6,1203
4,08-23-18,08:27:00 AM,A,Clamping straps,Extremity Unit,Pick Up,Arm - Top,Arm Derailed,Electrical,Guards caught in collector gear,72,6,1203
7,08-28-19,12:24:00 PM,B,Clamping straps,Extremity Unit,Delay,Plant Issues,By-Products Delay,Operational Unplanned,Instrument air lost over by-products,94,6,4200
6,08-29-18,08:27:00 AM,B,Clamping straps,Extremity Unit,Delay,Plant Issues,By-Products Delay,Operational Unplanned,Instrument air lost over by-products,94,6,4200
5,09-01-18,08:27:00 AM,C,Clamping straps,Extremity Unit,Delay,Plant Issues,Exhauster Failure,Operational Unplanned,Exhauster failure and inst air failure... plant on stop after down day.,103,6,4200
4,09-02-18,12:24:00 PM,C,Clamping straps,Extremity Unit,Delay,Plant Issues,Exhauster Failure,Operational Unplanned,Exhauster failure and inst air failure... plant on stop after down day.,103,6,4200
8,09-02-18,06:45:00 PM,A,Clamping straps,Extremity Unit,Charger Power Line,Repairs,Insulators Adrift,Electrical, ,96,6,4200
7,09-03-18,09:23:00 AM,A,Clamping straps,Extremity Unit,Charger Power Line,Repairs,Insulators Adrift,Electrical, ,96,6,4200
5,08-24-19,12:24:00 PM,C,Clamping straps,Extremity Unit,Inverter Drive,Batch Speed Control,Unknown Electrical Failure,Electrical,Fault finding batch speed issue,75,6,3203
4,09-03-18,06:45:00 PM,C,Clamping straps,Extremity Unit,Inverter Drive,Batch Speed Control,Unknown Electrical Failure,Electrical,Fault finding batch speed issue,75,6,3203
6,09-02-17,06:45:00 PM,C,Clamping straps,Extremity Unit,5B,Loadcell,Unknown Electrical Failure,Electrical,unable to drop coal attendedto by electricians,70,6,1204
5,08-28-18,09:23:00 AM,C,Clamping straps,Extremity Unit,5B,Loadcell,Unknown Electrical Failure,Electrical,unable to drop coal attendedto by electricians,70,6,1204
7,08-24-18,08:27:00 AM,D,Clamping straps,Extremity Unit,Inverter Drive,A.C.S. Control Panel,Unknown Electrical Failure,Electrical, ,73,6,2305
6,09-02-18,12:24:00 PM,D,Clamping straps,Extremity Unit,Inverter Drive,A.C.S. Control Panel,Unknown Electrical Failure,Electrical, ,73,6,2305
2,08-19-18,12:24:00 PM,B,Clamping straps,Extremity Unit,Charging,Pressure In Chamber,Unknown Mechanical Failure,Mechanical,askania failed 22-42 impulse line found blocked from askania to collector main,84,6,4200
8,08-30-19,12:24:00 PM,D,Counter-bearings,Driving unit,Drive,Motor Cable,Unknown Electrical Failure,Electrical,Cable and sensor changed on No4 screw counter.,90,6,4200
